profile,size,metric,mean,median,minimum,maximum,stdev
sqlite,100,add_total_ms,72.0342,72.0342,72.0342,72.0342,0.0
sqlite,100,add_per_record_ms,0.720342,0.720342,0.720342,0.720342,0.0
sqlite,100,query_total_ms,0.9737,0.9737,0.9737,0.9737,0.0
sqlite,100,query_per_record_ms,0.009737,0.009737,0.009737,0.009737,0.0
sqlite,100,verify_total_ms,0.0192,0.0192,0.0192,0.0192,0.0
sqlite,100,encrypt_per_record_ms,0.0,0.0,0.0,0.0,0.0
sqlite,100,decrypt_per_record_ms,0.0,0.0,0.0,0.0,0.0
sqlite,100,database_size_bytes,49152.0,49152.0,49152.0,49152.0,0.0
sqlite_aes,100,add_total_ms,74.3191,74.3191,74.3191,74.3191,0.0
sqlite_aes,100,add_per_record_ms,0.743191,0.743191,0.743191,0.743191,0.0
sqlite_aes,100,query_total_ms,3.0958,3.0958,3.0958,3.0958,0.0
sqlite_aes,100,query_per_record_ms,0.030958,0.030958,0.030958,0.030958,0.0
sqlite_aes,100,verify_total_ms,0.9431,0.9431,0.9431,0.9431,0.0
sqlite_aes,100,encrypt_per_record_ms,0.08634100000000001,0.08634100000000001,0.08634100000000001,0.08634100000000001,0.0
sqlite_aes,100,decrypt_per_record_ms,0.010518000000000005,0.010518000000000005,0.010518000000000005,0.010518000000000005,0.0
sqlite_aes,100,database_size_bytes,61440.0,61440.0,61440.0,61440.0,0.0
sqlite_aes_chain,100,add_total_ms,934.7273,934.7273,934.7273,934.7273,0.0
sqlite_aes_chain,100,add_per_record_ms,9.347273,9.347273,9.347273,9.347273,0.0
sqlite_aes_chain,100,query_total_ms,31.916,31.916,31.916,31.916,0.0
sqlite_aes_chain,100,query_per_record_ms,0.31916,0.31916,0.31916,0.31916,0.0
sqlite_aes_chain,100,verify_total_ms,49.6694,49.6694,49.6694,49.6694,0.0
sqlite_aes_chain,100,database_size_bytes,196608.0,196608.0,196608.0,196608.0,0.0
