profile,size,metric,mean,median,minimum,maximum,stdev
sqlite_aes_chain,1000,add_total_ms,10628.761286666668,10565.24735,8532.3461,14401.925,1554.409996791228
sqlite_aes_chain,1000,add_per_record_ms,10.628761286666666,10.56524735,8.5323461,14.401924999999999,1.554409996791228
sqlite_aes_chain,1000,query_total_ms,80.76774333333333,78.5762,62.9254,162.1057,17.88985189051629
sqlite_aes_chain,1000,query_per_record_ms,0.08076774333333334,0.0785762,0.0629254,0.16210570000000002,0.01788985189051629
sqlite_aes_chain,1000,verify_total_ms,173.93023,154.39315,131.8286,347.9231,50.114862348795526
sqlite_aes_chain,1000,database_size_bytes,1430459.7333333334,1429504.0,1421312.0,1445888.0,5760.9055737692015
sqlite_aes_chain,10000,add_total_ms,82246.23195,77130.84445,74756.7524,103980.8814,9380.117540922205
sqlite_aes_chain,10000,add_per_record_ms,8.224623195,7.713084445,7.47567524,10.39808814,0.9380117540922206
sqlite_aes_chain,10000,query_total_ms,697.1069866666668,661.2185,562.0325,1257.5246,148.02714503551013
sqlite_aes_chain,10000,query_per_record_ms,0.06971069866666667,0.06612185000000001,0.05620325,0.12575245999999998,0.014802714503551011
sqlite_aes_chain,10000,verify_total_ms,1513.8127633333331,1381.47465,1270.799,2513.9844,277.0045435735548
sqlite_aes_chain,10000,database_size_bytes,13839018.666666666,13840384.0,13799424.0,13881344.0,21602.698511725466
